run_number,category,rank,pid,name,cpu_percent,memory_percent
2,top_cpu,1,0,System Idle Process,1465.6,4.944419777283556e-05
2,top_cpu,2,82424,python.exe,83.1,1.2537812450246777
2,top_cpu,3,34344,WmiPrvSE.exe,54.8,0.18499546596706423
2,top_cpu,4,24500,QHActiveDefense.exe,47.3,1.3566746205899485
2,top_cpu,5,4,System,25.2,0.011693552773275608
2,top_memory,1,54720,OmenCommandCenterBackground.exe,3.5,3.7832475146873987
2,top_memory,2,75964,chrome.exe,0.1,3.6076464462971733
2,top_memory,3,39076,Code.exe,0.1,3.1049967317385274
2,top_memory,4,19164,Code.exe,2.2,2.485881209325967
2,top_memory,5,102084,chrome.exe,0.0,2.4637549308226228
3,top_cpu,1,0,System Idle Process,1466.8,4.944419777283556e-05
3,top_cpu,2,48812,chrome.exe,56.5,2.110723358724577
3,top_cpu,3,34344,WmiPrvSE.exe,48.2,0.169123878481984
3,top_cpu,4,74356,python.exe,40.1,1.2553634593534084
3,top_cpu,5,106936,CrossDeviceService.exe,22.1,1.0370920482852257
3,top_memory,1,54720,OmenCommandCenterBackground.exe,14.8,4.3882467186358145
3,top_memory,2,8168,chrome.exe,3.1,2.9331039781812644
3,top_memory,3,75964,chrome.exe,5.8,2.5693182930676266
3,top_memory,4,48812,chrome.exe,56.5,2.110723358724577
3,top_memory,5,39076,Code.exe,0.0,1.9224398536056193
4,top_cpu,1,0,System Idle Process,1502.9,4.944419777283556e-05
4,top_cpu,2,10500,python.exe,89.3,1.2555612361444997
4,top_cpu,3,34344,WmiPrvSE.exe,53.7,0.15925976102630332
4,top_cpu,4,24500,QHActiveDefense.exe,35.8,1.4433750213846155
4,top_cpu,5,106936,CrossDeviceService.exe,29.0,0.9055704822094832
4,top_memory,1,54720,OmenCommandCenterBackground.exe,0.5,4.516430801361891
4,top_memory,2,39076,Code.exe,0.1,2.971472675652985
4,top_memory,3,8168,chrome.exe,0.0,2.8041782324885958
4,top_memory,4,19164,Code.exe,1.0,2.6450173598578384
4,top_memory,5,102276,vmmemWSL,1.3,2.047410063476461
5,top_cpu,1,0,System Idle Process,1509.1,4.944419777283556e-05
5,top_cpu,2,48812,chrome.exe,55.6,2.2333449692012093
5,top_cpu,3,34344,WmiPrvSE.exe,47.4,0.18237492348510395
5,top_cpu,4,2012,python.exe,40.2,1.254275687002406
5,top_cpu,5,106936,CrossDeviceService.exe,22.9,0.9046804866495721
5,top_memory,1,54720,OmenCommandCenterBackground.exe,17.5,4.528544629816236
5,top_memory,2,75964,chrome.exe,14.0,2.9951070021884
5,top_memory,3,39076,Code.exe,0.0,2.9771340362979744
5,top_memory,4,8168,chrome.exe,0.0,2.709690370544707
5,top_memory,5,19164,Code.exe,1.0,2.327585610156234
6,top_cpu,1,0,System Idle Process,1488.1,4.944419777283556e-05
6,top_cpu,2,45820,Code.exe,47.5,0.311498445968864
6,top_cpu,3,44880,Code.exe,44.2,0.16128697313498958
6,top_cpu,4,19988,python.exe,33.8,1.184509923944935
6,top_cpu,5,18744,chrome.exe,30.0,3.8064862876406313
6,top_memory,1,52272,Code.exe,0.0,6.478252958493575
6,top_memory,2,18744,chrome.exe,30.0,3.8064862876406313
6,top_memory,3,60384,Code.exe,2.3,3.1964437755193864
6,top_memory,4,32072,Code.exe,1.3,2.688330477106842
6,top_memory,5,18104,chrome.exe,2.5,2.328549772012804
7,top_cpu,1,0,System Idle Process,1349.3,4.944419777283556e-05
7,top_cpu,2,45820,Code.exe,92.2,0.27958221630649865
7,top_cpu,3,80876,python.exe,90.8,1.1746705285881407
7,top_cpu,4,19704,WmiPrvSE.exe,38.4,0.16776416304323105
7,top_cpu,5,4,System,32.1,0.022175722701116746
7,top_memory,1,55612,Code.exe,0.0,6.800134685994733
7,top_memory,2,60384,Code.exe,5.3,3.1584953537287355
7,top_memory,3,104896,Code.exe,24.9,2.816662892426237
7,top_memory,4,18104,chrome.exe,0.0,2.675104154202608
7,top_memory,5,79700,Code.exe,1.7,2.662940881550491
8,top_cpu,1,0,System Idle Process,1432.4,4.944419777283556e-05
8,top_cpu,2,45820,Code.exe,92.5,0.19629346515815715
8,top_cpu,3,300,python.exe,86.0,1.183916593571661
8,top_cpu,4,19704,WmiPrvSE.exe,29.1,0.2114975559733041
8,top_cpu,5,4,System,13.9,0.023288217151005545
8,top_memory,1,55612,Code.exe,0.0,7.217542603593011
8,top_memory,2,79700,Code.exe,1.1,3.8552382666446476
8,top_memory,3,60384,Code.exe,1.1,3.0143902393198063
8,top_memory,4,104896,Code.exe,1.3,2.7269958397651997
8,top_memory,5,18104,chrome.exe,0.0,2.5653627572457998
10,top_cpu,1,0,System Idle Process,1498.1,4.944419777283556e-05
10,top_cpu,2,45820,Code.exe,91.3,0.2964921319448084
10,top_cpu,3,11876,python.exe,88.9,1.2677245087966174
10,top_cpu,4,19704,WmiPrvSE.exe,26.6,0.16002614609178228
10,top_cpu,5,4,System,23.7,0.02234877739332167
10,top_memory,1,55612,Code.exe,0.0,7.450350608806406
10,top_memory,2,60384,Code.exe,1.4,3.4934550715408097
10,top_memory,3,18104,chrome.exe,0.0,2.6897890809411407
10,top_memory,4,79700,Code.exe,0.8,2.5430387019513647
10,top_memory,5,104896,Code.exe,5.8,2.510578586113498
11,top_cpu,1,0,System Idle Process,1475.8,4.944419777283556e-05
11,top_cpu,2,45820,Code.exe,72.8,0.38423086089270514
11,top_cpu,3,43092,python.exe,72.3,1.2560804002211146
11,top_cpu,4,90056,SearchIndexer.exe,57.8,0.36929871316530877
11,top_cpu,5,19704,WmiPrvSE.exe,33.2,0.15683699533543438
11,top_memory,1,55612,Code.exe,0.0,7.434132911936916
11,top_memory,2,60384,Code.exe,1.5,3.472639064278446
11,top_memory,3,79700,Code.exe,0.8,2.5880576440235314
11,top_memory,4,104896,Code.exe,6.6,2.302814067072043
11,top_memory,5,74844,chrome.exe,3.9,2.038114554295168
12,top_cpu,1,0,System Idle Process,1336.0,4.944419777283556e-05
12,top_cpu,2,45820,Code.exe,92.5,0.3995091180045113
12,top_cpu,3,57264,python.exe,92.3,1.263694806678131
12,top_cpu,4,19704,WmiPrvSE.exe,44.9,0.16343779573810793
12,top_cpu,5,4,System,23.7,7.416629665925334e-05
12,top_memory,1,55612,Code.exe,0.0,4.28013698020551
12,top_memory,2,60384,Code.exe,3.0,3.4543199890036105
12,top_memory,3,4492,MemCompression,0.3,3.0698666292209276
12,top_memory,4,79700,Code.exe,1.5,2.567216914662281
12,top_memory,5,104896,Code.exe,11.8,2.2179678236938574
