run_number,start_time,end_time,duration_seconds,avg_cpu_percent,avg_memory_percent,avg_disk_percent,avg_network_sent_mb,avg_network_received_mb,total_alerts,ai_summary,cybersecurity_summary
2,2026-07-25T14:51:21.885188+00:00,2026-07-25T14:52:25.277245+00:00,63.39,22.73,90.87,37.6,245.62,1460.8,6,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 41"
3,2026-07-25T15:07:23.180318+00:00,2026-07-25T15:09:17.026355+00:00,113.85,18.95,92.15,37.6,255.04,1469.39,4,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 40"
4,2026-07-25T15:36:38.376524+00:00,2026-07-25T15:37:22.300014+00:00,43.92,18.95,90.35,37.6,270.65,1614.17,4,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 41"
5,2026-07-25T15:38:35.589454+00:00,2026-07-25T15:42:08.176677+00:00,212.59,19.48,92.15,37.6,271.94,1621.16,8,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 40"
6,2026-07-29T04:34:03.728252+00:00,2026-07-29T04:35:47.778001+00:00,104.05,36.78,91.92,37.85,87.13,144.84,6,"Health Score: 94.0, Anomalies: 0","Security Score: 0.0, Threats: 39"
7,2026-07-29T08:54:19.467975+00:00,2026-07-29T08:55:18.652643+00:00,59.18,24.73,87.28,38.0,45.4,162.2,6,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 37"
8,2026-07-29T13:39:56.956817+00:00,2026-07-29T13:41:02.308232+00:00,65.35,20.72,91.94,38.05,37.69,172.73,9,"Health Score: 94.0, Anomalies: 0","Security Score: 0.0, Threats: 40"
10,2026-07-30T08:46:08.561316+00:00,2026-07-30T08:49:12.976606+00:00,184.42,20.31,90.51,38.2,45.71,303.93,15,"Health Score: 94.0, Anomalies: 0","Security Score: 0.0, Threats: 42"
11,2026-07-30T08:51:11.598110+00:00,2026-07-30T08:52:10.422321+00:00,58.82,18.65,87.62,38.29,48.74,306.51,4,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 40"
12,2026-07-30T08:55:22.244821+00:00,2026-07-30T08:58:21.581721+00:00,179.34,21.39,86.55,36.8,50.7,310.97,12,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 41"
13,2026-07-30T10:10:09.723932+00:00,2026-07-30T11:30:33.768477+00:00,4824.04,21.86,89.58,37.13,415.43,680.35,211,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 42"
15,2026-07-31T03:07:31.730423+00:00,2026-07-31T03:24:48.536437+00:00,1036.81,20.77,87.18,37.95,32.9,75.08,39,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 38"
16,2026-07-31T03:30:22.570717+00:00,2026-07-31T03:32:28.079763+00:00,125.51,18.93,89.23,37.95,41.68,88.82,10,"Health Score: 94.0, Anomalies: 0","Security Score: 0.0, Threats: 38"
17,2026-07-31T03:42:48.225733+00:00,2026-07-31T03:48:20.397514+00:00,332.17,16.82,86.05,37.95,49.48,96.57,10,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 38"
18,2026-07-31T03:49:37.811370+00:00,2026-07-31T03:56:59.509970+00:00,441.7,18.03,85.72,37.95,53.0,100.17,14,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 37"
19,2026-07-31T03:57:57.747047+00:00,2026-07-31T03:58:49.020832+00:00,51.27,21.23,83.88,37.95,55.37,102.49,0,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 36"
20,2026-07-31T04:08:43.678473+00:00,2026-07-31T04:31:07.781251+00:00,1344.1,19.34,86.82,37.89,62.83,110.83,41,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 41"
21,2026-07-31T04:36:25.155879+00:00,2026-07-31T04:44:30.536441+00:00,485.38,19.06,89.43,37.85,70.18,124.09,20,"Health Score: 94.0, Anomalies: 0","Security Score: 0.0, Threats: 36"
22,2026-07-31T04:44:51.459650+00:00,2026-07-31T11:52:51.216463+00:00,25679.76,18.68,88.75,37.85,73.66,140.16,6,"Health Score: 86.0, Anomalies: 1","Security Score: 0.0, Threats: 34"
